"year","month","fleet","sex","partition","Nsamp","input_n","u10","u12","u14","u16","u18","u20","u22","u24","u26","u28","u30","u32","u34","u36","u38","u40","u42","u44","u46","u48","u50"
1959,7,"rec",0,0,45,7,0,0,0,0,0,0,0,0,1,0,0,0,3,1,3,8,9,7,10,2,1
1960,7,"rec",0,0,45,11,0,0,0,0,0,0,1,0,1,4,1,2,5,5,6,5,7,5,1,2,0
1980,7,"rec",0,0,11,10,0,0,0,0,0,0,0,1,1,3,0,0,0,0,1,0,1,2,1,1,0
1981,7,"rec",0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,1,0,1
1982,7,"rec",0,0,8,7,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,2,1,2,0,0
1983,7,"rec",0,0,61,32,0,0,0,0,1,0,0,1,1,0,1,2,2,4,2,6,11,3,11,5,11
1984,7,"rec",0,0,28,21,0,0,0,0,0,0,2,1,4,1,3,2,2,0,3,2,3,1,1,0,3
1985,7,"rec",0,0,36,31,0,0,0,0,0,0,2,0,4,2,2,1,3,5,4,5,2,1,1,0,4
1986,7,"rec",0,0,44,34,0,0,0,0,0,0,0,2,1,2,8,6,5,4,5,2,2,2,2,3,0
1987,7,"rec",0,0,12,9,0,0,0,0,0,0,0,2,1,1,1,0,0,3,2,0,0,1,1,0,0
1988,7,"rec",0,0,94,25,0,0,0,0,0,2,6,7,12,14,18,10,9,2,6,4,3,0,1,0,0
1989,7,"rec",0,0,156,72,0,0,0,0,0,0,1,7,15,22,33,15,13,20,13,8,6,1,2,0,0
1990,7,"rec",0,0,37,12,0,0,0,0,0,0,1,5,6,8,5,5,2,2,2,0,1,0,0,0,0
1991,7,"rec",0,0,6,5,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,2,0,0,0,0,0
1992,7,"rec",0,0,72,27,0,0,0,0,0,0,1,0,7,9,13,13,8,11,5,2,1,0,2,0,0
1993,7,"rec",0,0,229,120,0,0,0,0,0,0,0,3,6,5,23,32,41,32,21,20,24,10,5,2,5
1994,7,"rec",0,0,175,77,0,0,0,0,0,0,2,2,11,8,19,26,30,24,16,15,7,4,7,3,1
1995,7,"rec",0,0,214,50,0,0,0,0,0,1,4,16,28,44,41,26,19,15,14,4,1,1,0,0,0
1996,7,"rec",0,0,286,109,0,0,0,0,1,1,11,15,27,36,36,46,49,22,17,7,10,3,3,1,1
1997,7,"rec",0,0,186,73,0,0,0,0,3,3,2,12,9,19,27,24,18,21,18,9,4,10,3,1,3
1998,7,"rec",0,0,108,46,0,1,1,1,0,2,4,11,4,14,19,13,13,5,6,5,6,0,1,1,1
1999,7,"rec",0,0,72,47,0,0,0,0,1,1,1,5,8,7,6,17,11,7,4,1,1,0,0,1,1
2000,7,"rec",0,0,46,32,0,0,0,0,0,0,2,0,11,2,4,6,11,4,2,4,0,0,0,0,0
2001,7,"rec",0,0,32,22,0,0,0,0,0,0,0,0,3,4,10,4,1,4,3,3,0,0,0,0,0
2002,7,"rec",0,0,5,4,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,1,0,0,0,0
2003,7,"rec",0,0,56,42,0,0,0,0,0,0,1,1,3,5,14,13,7,3,3,5,1,0,0,0,0
2004,7,"rec",0,0,120,40,0,0,0,0,0,0,1,2,2,15,31,31,18,7,5,3,3,0,1,0,1
2005,7,"rec",0,0,215,91,0,0,0,0,0,0,0,0,3,4,18,33,30,33,38,20,15,9,7,0,5
2006,7,"rec",0,0,417,167,0,0,0,0,0,0,2,0,4,5,37,80,110,80,50,32,12,4,0,1,0
2007,7,"rec",0,0,552,168,0,0,0,0,0,1,1,1,4,12,39,119,104,91,80,53,25,12,7,3,0
2008,7,"rec",0,0,330,124,0,0,0,0,0,1,4,4,9,20,40,41,51,33,40,31,28,17,6,0,5
2009,7,"rec",0,0,321,124,0,0,0,0,0,0,0,16,20,22,28,51,53,44,33,21,13,10,8,2,0
2010,7,"rec",0,0,144,77,0,0,0,0,0,0,0,3,9,6,19,27,15,12,5,12,17,8,3,5,3
2011,7,"rec",0,0,207,82,0,0,0,0,1,0,1,3,3,11,22,24,25,20,24,23,24,14,7,4,1
2012,7,"rec",0,0,270,122,0,0,0,0,0,0,0,3,2,4,25,39,35,35,28,37,40,14,5,2,1
2013,7,"rec",0,0,189,100,0,0,0,0,1,0,0,0,1,3,7,9,10,23,26,36,38,21,12,1,1
2014,7,"rec",0,0,129,73,0,0,0,0,1,0,5,4,6,0,4,10,6,8,16,18,21,20,6,3,1
2015,7,"rec",0,0,376,151,0,0,0,1,0,0,8,16,29,37,30,27,34,41,55,31,33,20,9,3,2
2016,7,"rec",0,0,440,140,0,0,0,0,0,2,7,19,41,51,56,43,30,36,37,51,36,21,5,5,0
2017,7,"rec",0,0,457,197,0,0,0,0,0,1,2,6,18,38,47,28,35,36,75,65,52,40,9,4,1
2018,7,"rec",0,0,423,187,0,0,0,0,0,0,0,1,7,26,39,41,39,38,60,68,60,32,10,2,0
2019,7,"rec",0,0,464,194,0,0,1,0,0,0,0,1,5,11,40,49,54,55,66,56,71,39,13,2,1
2021,7,"rec",0,0,256,105,0,0,0,0,1,2,2,3,8,5,26,39,41,47,35,19,9,15,3,0,1
2022,7,"rec",0,0,409,168,0,0,0,0,1,0,4,4,14,22,24,43,48,55,64,45,37,28,17,3,0
2023,7,"rec",0,0,134,63,0,0,0,0,0,0,0,0,2,8,7,17,16,20,21,13,14,9,5,2,0
2024,7,"rec",0,0,37,26,0,0,0,0,0,0,1,2,8,6,7,4,1,1,2,1,2,2,0,0,0
