"Year","Age0","Age1","Age2","Age3","Age4","Age5","Age6","Age7","Age8","Age9","Age10","Age11","Age12","Age13","Age14","Age15","Age16","Age17","Age18","Age19","Age20","Age21","Age22","Age23","Age24","Age25","Age26","Age27","Age28","Age29","Age30","Age31","Age32","Age33","Age34","Age35","Age36","Age37","Age38","Age39","Age40","Age41","Age42","Age43","Age44","Age45","Age46","Age47","Age48","Age49","Age50","Age51","Age52","Age53","Age54","Age55","Age56","Age57","Age58","Age59","Age60","Age61","Age62","Age63","Age64","Age65","Age66","Age67","Age68","Age69","Age70","Age71","Age72","Age73","Age74","Age75","Age76","Age77","Age78","Age79","Age80"
1916,44.9952,42.033,39.2698,36.6882,34.2763,32.023,29.9178,27.951,26.1136,24.3969,22.793,21.2946,19.8947,18.5869,17.365,16.2234,15.1569,14.1605,13.2296,12.3599,11.5473,10.7882,10.079,9.41642,8.79739,8.21905,7.67873,7.17394,6.70233,6.26172,5.85008,5.4655,5.1062,4.77052,4.45691,4.16391,3.89018,3.63444,3.39551,3.17229,2.96375,2.76891,2.58689,2.41683,2.25794,2.10951,1.97083,1.84127,1.72022,1.60714,1.50149,1.40278,1.31056,1.2244,1.14391,1.06871,0.998456,0.932818,0.871495,0.814203,0.760678,0.710671,0.663952,0.620304,0.579526,0.541428,0.505835,0.472581,0.441514,0.412489,0.385372,0.360038,0.336369,0.314257,0.293598,0.274297,0.256264,0.239418,0.223679,0.208974,2.96984
1917,44.995,42.0372,39.2698,36.6882,34.2763,32.0229,29.9177,27.9507,26.1131,24.3963,22.7924,21.294,19.8941,18.5862,17.3643,16.2228,15.1563,14.16,13.2291,12.3594,11.5469,10.7878,10.0787,9.4161,8.7971,8.21879,7.67849,7.17371,6.70212,6.26153,5.8499,5.46533,5.10604,4.77038,4.45677,4.16379,3.89006,3.63433,3.39541,3.1722,2.96366,2.76883,2.58681,2.41676,2.25788,2.10945,1.97077,1.84122,1.72018,1.60709,1.50144,1.40274,1.31052,1.22437,1.14388,1.06868,0.998428,0.932792,0.871471,0.814181,0.760657,0.710651,0.663934,0.620287,0.57951,0.541413,0.505821,0.472568,0.441502,0.412478,0.385362,0.360028,0.33636,0.314248,0.293589,0.274289,0.256257,0.239411,0.223672,0.208968,2.96976
1918,44.9947,42.0371,39.2737,36.6882,34.2763,32.0228,29.9174,27.9503,26.1124,24.3954,22.7913,21.2927,19.8928,18.5849,17.3631,16.2216,15.1552,14.1589,13.2281,12.3585,11.5461,10.7871,10.078,9.41545,8.7965,8.21823,7.67798,7.17325,6.70169,6.26113,5.84953,5.46499,5.10573,4.77008,4.4565,4.16354,3.88983,3.63412,3.39521,3.17201,2.96349,2.76867,2.58666,2.41662,2.25775,2.10933,1.97066,1.84111,1.72008,1.607,1.50136,1.40266,1.31045,1.2243,1.14381,1.06862,0.99837,0.932738,0.87142,0.814134,0.760613,0.710611,0.663895,0.620251,0.579476,0.541382,0.505792,0.472541,0.441476,0.412454,0.385339,0.360007,0.336341,0.31423,0.293573,0.274273,0.256243,0.239397,0.223659,0.208956,2.96959
1919,44.9941,42.0368,39.2736,36.6918,34.2762,32.0226,29.9168,27.9492,26.1108,24.3933,22.7888,21.29,19.8898,18.582,17.3602,16.2188,15.1525,14.1564,13.2258,12.3564,11.5441,10.7853,10.0763,9.41393,8.7951,8.21695,7.6768,7.17216,6.70068,6.2602,5.84868,5.4642,5.105,4.7694,4.45587,4.16295,3.88929,3.63361,3.39474,3.17158,2.96308,2.76829,2.58631,2.41629,2.25744,2.10904,1.97039,1.84086,1.71984,1.60678,1.50115,1.40247,1.31027,1.22414,1.14366,1.06848,0.998237,0.932613,0.871304,0.814025,0.760511,0.710516,0.663807,0.620168,0.579399,0.541309,0.505724,0.472478,0.441417,0.412399,0.385288,0.359959,0.336296,0.314188,0.293533,0.274237,0.256208,0.239365,0.22363,0.208928,2.96919
1920,44.994,42.0362,39.2733,36.6917,34.2797,32.0228,29.9172,27.9498,26.1114,24.3937,22.789,21.29,19.8897,18.5816,17.3597,16.2183,15.152,14.1559,13.2253,12.3559,11.5437,10.7848,10.0759,9.41356,8.79476,8.21664,7.67651,7.17189,6.70044,6.25998,5.84847,5.46401,5.10482,4.76925,4.45573,4.16282,3.88916,3.6335,3.39464,3.17148,2.96299,2.76821,2.58623,2.41621,2.25737,2.10898,1.97033,1.84081,1.71979,1.60673,1.50111,1.40243,1.31023,1.2241,1.14363,1.06845,0.998207,0.932585,0.871278,0.814,0.760488,0.710494,0.663787,0.62015,0.579382,0.541293,0.505709,0.472464,0.441404,0.412387,0.385277,0.359949,0.336286,0.314179,0.293525,0.274228,0.256201,0.239358,0.223623,0.208922,2.96911
1921,44.9938,42.0361,39.2728,36.6915,34.2796,32.026,29.9174,27.95,26.1117,24.3941,22.7892,21.29,19.8894,18.5812,17.3592,16.2176,15.1513,14.1552,13.2246,12.3552,11.543,10.7842,10.0753,9.41305,8.79429,8.21621,7.67612,7.17153,6.70011,6.25968,5.84819,5.46375,5.10459,4.76903,4.45553,4.16263,3.88899,3.63334,3.39449,3.17134,2.96286,2.76809,2.58612,2.41611,2.25728,2.10889,1.97025,1.84073,1.71972,1.60667,1.50105,1.40237,1.31018,1.22405,1.14358,1.0684,0.998166,0.932547,0.871242,0.813967,0.760457,0.710465,0.66376,0.620124,0.579358,0.541271,0.505688,0.472445,0.441386,0.41237,0.385261,0.359934,0.336272,0.314166,0.293513,0.274217,0.25619,0.239349,0.223614,0.208914,2.96899
1922,44.9935,42.0359,39.2726,36.691,34.2794,32.0259,29.9203,27.9499,26.1117,24.394,22.789,21.2896,19.8889,18.5804,17.3583,16.2166,15.1502,14.1541,13.2235,12.3542,11.5421,10.7833,10.0745,9.41229,8.79359,8.21556,7.67553,7.17099,6.69961,6.25922,5.84777,5.46336,5.10423,4.76869,4.45522,4.16235,3.88873,3.63309,3.39426,3.17113,2.96267,2.76791,2.58595,2.41595,2.25713,2.10875,1.97012,1.84061,1.71961,1.60657,1.50095,1.40228,1.3101,1.22397,1.14351,1.06833,0.998103,0.932488,0.871187,0.813916,0.760409,0.71042,0.663718,0.620085,0.579321,0.541237,0.505656,0.472415,0.441358,0.412344,0.385237,0.359911,0.336251,0.314146,0.293494,0.2742,0.256174,0.239333,0.2236,0.2089,2.9688
1923,44.9933,42.0357,39.2725,36.6909,34.2789,32.0257,29.9202,27.9528,26.1118,24.3942,22.7893,21.2898,19.889,18.5803,17.3579,16.2162,15.1496,14.1534,13.2228,12.3535,11.5414,10.7827,10.0739,9.4117,8.79305,8.21506,7.67507,7.17057,6.69922,6.25886,5.84744,5.46307,5.10395,4.76844,4.45498,4.16213,3.88853,3.63291,3.39409,3.17097,2.96252,2.76777,2.58582,2.41584,2.25702,2.10865,1.97003,1.84052,1.71953,1.60649,1.50088,1.40221,1.31003,1.22391,1.14345,1.06828,0.998056,0.932444,0.871146,0.813878,0.760374,0.710387,0.663687,0.620056,0.579294,0.541212,0.505633,0.472393,0.441338,0.412325,0.385219,0.359895,0.336235,0.314131,0.29348,0.274187,0.256162,0.239322,0.223589,0.208891,2.96866
1924,44.9933,42.0355,39.2723,36.6907,34.2788,32.0254,29.9203,27.9531,26.115,24.395,22.7902,21.2908,19.8899,18.5811,17.3585,16.2165,15.1498,14.1534,13.2227,12.3533,11.5412,10.7825,10.0737,9.41147,8.79283,8.21486,7.67488,7.17039,6.69907,6.25872,5.84731,5.46295,5.10384,4.76835,4.4549,4.16205,3.88845,3.63284,3.39403,3.17092,2.96247,2.76772,2.58578,2.4158,2.25699,2.10862,1.97,1.84049,1.7195,1.60646,1.50086,1.40219,1.31001,1.22389,1.14344,1.06827,0.998041,0.93243,0.871133,0.813865,0.760362,0.710377,0.663677,0.620047,0.579286,0.541204,0.505625,0.472386,0.441331,0.412318,0.385213,0.359889,0.33623,0.314127,0.293476,0.274183,0.256158,0.239319,0.223586,0.208888,2.96862
1925,44.9932,42.0355,39.2721,36.6905,34.2787,32.0252,29.9198,27.9529,26.1149,24.3974,22.7904,21.2911,19.8902,18.5814,17.3587,16.2165,15.1496,14.1531,13.2223,12.3528,11.5406,10.7819,10.0731,9.41096,8.79234,8.2144,7.67446,7.17001,6.69871,6.25839,5.84701,5.46267,5.10359,4.76811,4.45468,4.16186,3.88827,3.63268,3.39388,3.17078,2.96234,2.7676,2.58567,2.41569,2.25689,2.10853,1.96991,1.84042,1.71943,1.6064,1.50079,1.40213,1.30996,1.22384,1.14339,1.06822,0.998,0.932392,0.871097,0.813832,0.760331,0.710347,0.66365,0.620022,0.579262,0.541182,0.505605,0.472366,0.441313,0.412302,0.385197,0.359874,0.336217,0.314114,0.293464,0.274172,0.256148,0.239309,0.223577,0.208879,2.9685
1926,44.9926,42.0353,39.2721,36.6903,34.2784,32.0248,29.919,27.9514,26.1132,24.3955,22.7906,21.289,19.8882,18.5795,17.3569,16.2147,15.1478,14.1512,13.2204,12.3509,11.5388,10.7801,10.0715,9.40939,8.79089,8.21305,7.67321,7.16885,6.69764,6.25741,5.84611,5.46184,5.10282,4.7674,4.45402,4.16125,3.88771,3.63215,3.39339,3.17032,2.96192,2.76721,2.5853,2.41535,2.25657,2.10823,1.96964,1.84016,1.71919,1.60618,1.50059,1.40194,1.30978,1.22368,1.14323,1.06808,0.997864,0.932265,0.870979,0.813721,0.760228,0.710251,0.66356,0.619938,0.579183,0.541108,0.505536,0.472302,0.441254,0.412246,0.385145,0.359826,0.336171,0.314071,0.293424,0.274135,0.256113,0.239277,0.223547,0.208851,2.96809
1927,44.992,42.0348,39.272,36.6903,34.2782,32.0245,29.9186,27.9507,26.1119,24.394,22.7889,21.2893,19.8864,18.5777,17.3551,16.213,15.1461,14.1495,13.2186,12.3492,11.5371,10.7785,10.0698,9.40786,8.78944,8.21171,7.67196,7.1677,6.69658,6.25642,5.8452,5.461,5.10205,4.76669,4.45337,4.16064,3.88715,3.63163,3.39291,3.16988,2.9615,2.76683,2.58495,2.41502,2.25626,2.10794,1.96937,1.83991,1.71896,1.60596,1.50038,1.40175,1.3096,1.22351,1.14308,1.06793,0.997729,0.93214,0.870862,0.813612,0.760126,0.710156,0.663471,0.619855,0.579106,0.541036,0.505468,0.472239,0.441195,0.412191,0.385093,0.359778,0.336126,0.314029,0.293385,0.274098,0.256079,0.239245,0.223517,0.208823,2.9677
1928,44.9909,42.0343,39.2714,36.6902,34.2781,32.024,29.9176,27.9491,26.1094,24.3905,22.785,21.285,19.8839,18.5732,17.3508,16.2089,15.1421,14.1457,13.215,12.3457,11.5337,10.7753,10.0668,9.40501,8.78678,8.20923,7.66966,7.16557,6.69461,6.25461,5.84352,5.45945,5.10062,4.76536,4.45214,4.1595,3.8861,3.63066,3.392,3.16904,2.96072,2.7661,2.58427,2.41439,2.25568,2.1074,1.96887,1.83944,1.71852,1.60555,1.5,1.40139,1.30927,1.2232,1.14279,1.06766,0.997476,0.931903,0.870641,0.813406,0.759933,0.709976,0.663303,0.619698,0.578959,0.540899,0.505341,0.47212,0.441083,0.412087,0.384996,0.359687,0.336041,0.31395,0.293311,0.274029,0.256015,0.239184,0.22346,0.20877,2.96695
1929,44.9894,42.0332,39.271,36.6897,34.2779,32.0236,29.9164,27.9469,26.1064,24.3866,22.78,21.2797,19.8783,18.5694,17.3452,16.2035,15.1371,14.1409,13.2104,12.3413,11.5295,10.7712,10.063,9.40138,8.78337,8.20604,7.66669,7.1628,6.69205,6.25223,5.84132,5.4574,5.09872,4.7636,4.45051,4.15799,3.88469,3.62935,3.39079,3.16791,2.95967,2.76512,2.58336,2.41354,2.25489,2.10666,1.96818,1.8388,1.71792,1.60499,1.49948,1.40091,1.30882,1.22278,1.14239,1.06729,0.997132,0.931582,0.870341,0.813126,0.759672,0.709732,0.663075,0.619485,0.57876,0.540713,0.505167,0.471958,0.440931,0.411945,0.384864,0.359563,0.335926,0.313842,0.29321,0.273935,0.255927,0.239102,0.223384,0.208699,2.96593
1930,44.9875,42.0318,39.27,36.6892,34.2773,32.023,29.9151,27.9444,26.1026,24.3818,22.7743,21.273,19.8713,18.5623,17.3399,16.1966,15.1305,14.1347,13.2045,12.3357,11.5241,10.7661,10.0581,9.39679,8.77904,8.20197,7.66288,7.15925,6.68874,6.24915,5.83846,5.45475,5.09625,4.76131,4.44838,4.15601,3.88285,3.62764,3.3892,3.16642,2.95829,2.76384,2.58216,2.41243,2.25385,2.10569,1.96727,1.83795,1.71713,1.60425,1.4988,1.40027,1.30822,1.22222,1.14187,1.06681,0.996679,0.931158,0.869945,0.812756,0.759327,0.709409,0.662774,0.619203,0.578498,0.540468,0.504938,0.471744,0.440731,0.411758,0.384689,0.3594,0.335773,0.3137,0.293077,0.273811,0.255811,0.238994,0.223282,0.208604,2.96459
1931,44.9849,42.0301,39.2687,36.6883,34.2767,32.022,29.9135,27.9415,26.0978,24.3753,22.7664,21.2641,19.8615,18.5523,17.3299,16.1885,15.1211,14.1258,13.1961,12.3278,11.5167,10.7591,10.0515,9.39054,8.77316,8.19646,7.65773,7.15445,6.68426,6.24499,5.83459,5.45116,5.09292,4.75822,4.4455,4.15333,3.88036,3.62533,3.38705,3.16442,2.95643,2.7621,2.58055,2.41092,2.25244,2.10438,1.96605,1.83681,1.71607,1.60326,1.49787,1.39941,1.30741,1.22147,1.14117,1.06615,0.996066,0.930586,0.869411,0.812257,0.75886,0.708974,0.662367,0.618824,0.578143,0.540136,0.504628,0.471454,0.440461,0.411506,0.384454,0.35918,0.335568,0.313508,0.292898,0.273643,0.255654,0.238847,0.223146,0.208476,2.96277
1932,44.9814,42.0276,39.267,36.6871,34.2756,32.0207,29.9111,27.9375,26.0917,24.3668,22.7559,21.2522,19.8486,18.5387,17.3162,16.1751,15.1097,14.1134,13.1845,12.3169,11.5065,10.7496,10.0425,9.38212,8.76526,8.18906,7.65081,7.14799,6.67825,6.23939,5.82938,5.44632,5.08842,4.75404,4.44162,4.14973,3.87701,3.62221,3.38414,3.16172,2.95391,2.75976,2.57836,2.40889,2.25055,2.10261,1.9644,1.83528,1.71463,1.60192,1.49662,1.39824,1.30632,1.22045,1.14022,1.06527,0.995238,0.929813,0.868689,0.811583,0.758231,0.708386,0.661817,0.61831,0.577663,0.539688,0.50421,0.471064,0.440096,0.411165,0.384135,0.358882,0.33529,0.313248,0.292655,0.273416,0.255442,0.238649,0.222961,0.208303,2.96032
1933,44.9781,42.0243,39.2648,36.6855,34.2745,32.0197,29.9099,27.9353,26.0882,24.3615,22.7487,21.2432,19.8384,18.5276,17.3045,16.1633,15.098,14.1036,13.1737,12.3067,11.4969,10.7406,10.0341,9.37415,8.75775,8.18199,7.64418,7.14178,6.67244,6.23398,5.82434,5.44162,5.08406,4.74998,4.43785,4.14622,3.87374,3.61917,3.38131,3.15909,2.95146,2.75747,2.57623,2.4069,2.2487,2.10089,1.9628,1.83378,1.71324,1.60062,1.4954,1.3971,1.30526,1.21946,1.1393,1.0644,0.994431,0.92906,0.867985,0.810926,0.757617,0.707813,0.661282,0.61781,0.577196,0.539252,0.503802,0.470683,0.439741,0.410833,0.383825,0.358592,0.335019,0.312995,0.292419,0.273195,0.255236,0.238457,0.222781,0.208135,2.95793
1934,44.9749,42.0213,39.2617,36.6834,34.2731,32.0186,29.9088,27.9339,26.0859,24.358,22.7436,21.2365,19.8302,18.5183,17.2944,16.1525,15.0872,14.0929,13.1647,12.2967,11.4875,10.7317,10.0257,9.36629,8.75033,8.17499,7.63757,7.13557,6.66662,6.22853,5.81925,5.43688,5.07964,4.74586,4.43402,4.14265,3.87043,3.61608,3.37844,3.15641,2.94897,2.75516,2.57407,2.40489,2.24682,2.09914,1.96116,1.83225,1.71181,1.59929,1.49416,1.39595,1.30418,1.21845,1.13836,1.06352,0.993612,0.928295,0.867271,0.810259,0.756994,0.707231,0.660739,0.617303,0.576722,0.538809,0.503389,0.470296,0.43938,0.410495,0.38351,0.358298,0.334744,0.312738,0.292179,0.272971,0.255026,0.238261,0.222598,0.207965,2.9555
1935,44.9715,42.0183,39.2588,36.6805,34.271,32.017,29.9071,27.9319,26.0834,24.3545,22.7391,21.2305,19.8226,18.5094,17.2846,16.142,15.0762,14.0819,13.1538,12.2875,11.4775,10.7222,10.0168,9.35786,8.74239,8.1675,7.63051,7.12891,6.66036,6.22266,5.81375,5.43174,5.07485,4.7414,4.42986,4.13878,3.86682,3.61273,3.37532,3.15351,2.94626,2.75263,2.57172,2.4027,2.24478,2.09724,1.95939,1.8306,1.71027,1.59785,1.49282,1.39469,1.30301,1.21736,1.13733,1.06257,0.992721,0.927463,0.866494,0.809533,0.756317,0.706598,0.660148,0.616751,0.576206,0.538328,0.502939,0.469876,0.438987,0.410128,0.383167,0.357978,0.334445,0.312459,0.291918,0.272727,0.254799,0.238048,0.222399,0.207779,2.95286
1936,44.9669,42.0151,39.256,36.6778,34.2681,32.0142,29.9037,27.9271,26.0771,24.3469,22.7299,21.22,19.8108,18.4963,17.2704,16.1273,15.0612,14.0667,13.139,12.2732,11.4649,10.7092,10.0046,9.34646,8.73172,8.1575,7.62112,7.12009,6.65209,6.21491,5.80651,5.42497,5.06853,4.73551,4.42437,4.13367,3.86207,3.6083,3.3712,3.14967,2.94269,2.7493,2.56862,2.39981,2.24208,2.09472,1.95704,1.82841,1.70823,1.59595,1.49104,1.39303,1.30146,1.21591,1.13599,1.06131,0.991545,0.926365,0.865469,0.808576,0.755422,0.705763,0.659367,0.616022,0.575526,0.537692,0.502345,0.469321,0.438469,0.409644,0.382715,0.357555,0.33405,0.31209,0.291573,0.272406,0.254498,0.237767,0.222137,0.207534,2.94938
1937,44.9621,42.0108,39.253,36.6752,34.2654,32.0111,29.9004,27.9229,26.0713,24.3395,22.7212,21.2099,19.7996,18.4839,17.2569,16.1129,15.0464,14.0517,13.1239,12.2585,11.4507,10.6967,9.99174,9.33438,8.72041,8.1469,7.61119,7.11077,6.64334,6.2067,5.79882,5.41778,5.06181,4.72924,4.41853,4.12823,3.85699,3.60358,3.3668,3.14557,2.93887,2.74575,2.56531,2.39672,2.2392,2.09204,1.95454,1.82607,1.70605,1.59391,1.48915,1.39126,1.29981,1.21437,1.13455,1.05997,0.99029,0.925193,0.864374,0.807553,0.754467,0.704871,0.658534,0.615244,0.574799,0.537013,0.501711,0.468729,0.437915,0.409127,0.382232,0.357104,0.333629,0.311696,0.291206,0.272062,0.254177,0.237468,0.221857,0.207272,2.94566
1938,44.9573,42.0063,39.249,36.6724,34.263,32.0085,29.8971,27.9192,26.0667,24.3336,22.714,21.2016,19.7901,18.4734,17.2454,16.1004,15.033,14.0379,13.1099,12.2444,11.437,10.6834,9.98001,9.3223,8.70903,8.13623,7.60118,7.10138,6.63451,6.1984,5.79102,5.41047,5.05497,4.72284,4.41255,4.12265,3.8518,3.59873,3.36229,3.14137,2.93496,2.7421,2.56191,2.39355,2.23625,2.08928,1.95197,1.82368,1.70382,1.59183,1.4872,1.38945,1.29812,1.21279,1.13307,1.05859,0.989002,0.92399,0.863251,0.806505,0.753488,0.703956,0.65768,0.614446,0.574054,0.536317,0.50106,0.468121,0.437348,0.408597,0.381737,0.356642,0.333197,0.311293,0.290828,0.27171,0.253848,0.23716,0.221569,0.207004,2.94184
1939,44.9523,42.0018,39.2448,36.6686,34.2603,32.0059,29.8941,27.9152,26.0619,24.3276,22.7065,21.1928,19.7803,18.4625,17.2336,16.0877,15.0195,14.0238,13.0955,12.2299,11.4225,10.6694,9.9665,9.31035,8.69684,8.12477,7.59044,7.09132,6.62508,6.18955,5.78272,5.40268,5.04767,4.71601,4.40617,4.1167,3.84625,3.59356,3.35746,3.13687,2.93077,2.7382,2.55827,2.39016,2.23309,2.08634,1.94923,1.82112,1.70143,1.5896,1.48512,1.38751,1.29631,1.2111,1.13149,1.05712,0.987628,0.922707,0.862053,0.805386,0.752443,0.70298,0.656769,0.613595,0.573259,0.535574,0.500367,0.467473,0.436743,0.408032,0.381208,0.356148,0.332736,0.310862,0.290426,0.271334,0.253497,0.236832,0.221263,0.206717,2.93778
1940,43.661,41.9972,39.2407,36.6647,34.2569,32.0039,29.8928,27.9141,26.0604,24.3257,22.7036,21.1885,19.7747,18.4558,17.2258,16.079,15.0098,14.0131,13.0842,12.2182,11.4106,10.6574,9.9548,9.29905,8.68691,8.11452,7.5808,7.08229,6.61662,6.18162,5.77527,5.39568,5.0411,4.70986,4.40041,4.11131,3.84122,3.58887,3.3531,3.13281,2.92698,2.73467,2.55499,2.3871,2.23024,2.08368,1.94675,1.81881,1.69928,1.58759,1.48325,1.38576,1.29468,1.20958,1.13007,1.05579,0.986391,0.921552,0.860974,0.804379,0.751503,0.702102,0.655948,0.612829,0.572543,0.534906,0.499742,0.46689,0.436198,0.407523,0.380733,0.355704,0.332321,0.310475,0.290064,0.270996,0.253181,0.236537,0.220987,0.20646,2.93412
1941,43.5137,40.7907,39.2363,36.6608,34.2531,32.0001,29.8894,27.9105,26.0566,24.3214,22.6992,21.1835,19.7687,18.4489,17.2181,16.0703,15.0004,14.0028,13.073,12.2064,11.3985,10.6451,9.94248,9.28704,8.6753,8.10423,7.57026,7.07235,6.60729,6.17286,5.76704,5.38795,5.03383,4.70303,4.39401,4.10532,3.83561,3.58363,3.34821,3.12825,2.92273,2.73071,2.55129,2.38366,2.22703,2.08069,1.94396,1.81621,1.69685,1.58533,1.48114,1.38379,1.29284,1.20786,1.12847,1.0543,0.984995,0.920249,0.859758,0.803242,0.750442,0.701111,0.655023,0.611964,0.571736,0.534152,0.499038,0.466233,0.435583,0.406949,0.380197,0.355204,0.331853,0.310037,0.289656,0.270614,0.252824,0.236204,0.220676,0.206169,2.92999
1942,43.3464,40.6532,38.1092,36.6567,34.2495,31.9965,29.8858,27.9073,26.0531,24.3175,22.6947,21.1788,19.7633,18.4425,17.2108,16.0623,14.9915,13.9933,13.0628,12.1954,11.387,10.6334,9.93068,9.27523,8.66381,8.09316,7.56045,7.06233,6.59785,6.16401,5.75874,5.38016,5.02651,4.69616,4.38755,4.09927,3.82995,3.57834,3.34326,3.12363,2.91843,2.7267,2.54755,2.38018,2.22379,2.07767,1.94114,1.81358,1.6944,1.58304,1.47901,1.3818,1.29098,1.20613,1.12685,1.05279,0.983587,0.918934,0.85853,0.802096,0.749372,0.700112,0.65409,0.611093,0.570922,0.533392,0.498328,0.465569,0.434964,0.40637,0.379656,0.354699,0.331381,0.309597,0.289244,0.27023,0.252465,0.235868,0.220363,0.205876,2.92583
1943,43.16,40.4969,37.9806,35.6038,34.2461,31.995,29.8867,27.9108,26.059,24.3244,22.7017,21.1853,19.7692,18.4473,17.2142,16.0643,14.9923,13.9928,13.0612,12.1927,11.3831,10.6286,9.92525,9.26936,8.65759,8.08693,7.5543,7.05709,6.59216,6.15862,5.75367,5.3754,5.02203,4.69193,4.38357,4.09552,3.82642,3.57503,3.34017,3.12075,2.91574,2.72419,2.54522,2.37801,2.22177,2.07579,1.93939,1.81195,1.69288,1.58163,1.47769,1.38058,1.28984,1.20507,1.12586,1.05186,0.982724,0.918129,0.857779,0.801395,0.748717,0.699501,0.65352,0.61056,0.570425,0.532927,0.497894,0.465164,0.434586,0.406017,0.379327,0.35439,0.331094,0.309328,0.288993,0.269995,0.252246,0.235664,0.220172,0.205698,2.92329
1944,42.9509,40.3227,37.8346,35.4837,33.2624,31.9918,29.885,27.9111,26.0614,24.3288,22.7069,21.1904,19.7738,18.4514,17.2173,16.0662,14.993,13.9924,13.0597,12.1902,11.3797,10.6242,9.92004,9.26362,8.65151,8.08057,7.54798,7.05088,6.58683,6.1529,5.74828,5.37033,5.01727,4.68746,4.37936,4.09155,3.82269,3.57153,3.33689,3.11768,2.91288,2.72152,2.54274,2.37569,2.21961,2.07378,1.93753,1.81022,1.69127,1.58013,1.47629,1.37927,1.28863,1.20393,1.12481,1.05088,0.981805,0.917272,0.856979,0.800649,0.74802,0.698851,0.652913,0.609994,0.569896,0.532433,0.497433,0.464734,0.434184,0.405642,0.378976,0.354063,0.330787,0.309042,0.288726,0.269746,0.252013,0.235446,0.219968,0.205508,2.92059
1945,42.7137,40.1273,37.6718,35.347,33.149,31.0692,29.8741,27.8963,26.043,24.3077,22.6842,21.1665,19.7492,18.4267,17.1931,16.0425,14.9698,13.9699,13.0379,12.1691,11.3593,10.6044,9.90071,9.24482,8.63336,8.06314,7.53123,7.03503,6.57187,6.13947,5.73512,5.35806,5.00584,4.67681,4.36943,4.08228,3.81403,3.56344,3.32934,3.11063,2.9063,2.71539,2.53703,2.37037,2.21466,2.06916,1.93322,1.80621,1.68753,1.57665,1.47304,1.37624,1.2858,1.2013,1.12235,1.04858,0.979663,0.915272,0.855113,0.798907,0.746394,0.697332,0.651494,0.608669,0.568659,0.531278,0.496354,0.463726,0.433243,0.404763,0.378155,0.353296,0.330071,0.308373,0.288101,0.269162,0.251468,0.234936,0.219492,0.205063,2.91427
