"Year","Age0","Age1","Age2","Age3","Age4","Age5","Age6","Age7","Age8","Age9","Age10","Age11","Age12","Age13","Age14","Age15","Age16","Age17","Age18","Age19","Age20","Age21","Age22","Age23","Age24","Age25","Age26","Age27","Age28","Age29","Age30","Age31","Age32","Age33","Age34","Age35","Age36","Age37","Age38","Age39","Age40","Age41","Age42","Age43","Age44","Age45","Age46","Age47","Age48","Age49","Age50","Age51","Age52","Age53","Age54","Age55","Age56","Age57","Age58","Age59","Age60","Age61","Age62","Age63","Age64","Age65","Age66","Age67","Age68","Age69","Age70","Age71","Age72","Age73","Age74","Age75","Age76","Age77","Age78","Age79","Age80"
1946,42.4441,39.9057,37.4893,35.1945,33.0189,30.9556,28.996,27.8576,25.9893,24.2413,22.6089,21.0862,19.6668,18.3445,17.1129,15.9658,14.897,13.9012,12.9733,12.1087,11.3027,10.5515,9.8511,9.19818,8.58952,8.02199,7.49266,6.99883,6.53808,6.10795,5.70634,5.33074,4.98045,4.65321,4.34748,4.06185,3.795,3.54571,3.31281,3.09522,2.89193,2.702,2.52454,2.35873,2.20381,2.05905,1.9238,1.79742,1.67933,1.569,1.46591,1.36959,1.27959,1.1955,1.11694,1.04353,0.97495,0.910873,0.851005,0.795071,0.742812,0.693987,0.648371,0.605752,0.565934,0.528733,0.493977,0.461506,0.431168,0.402825,0.376345,0.351605,0.328492,0.306897,0.286723,0.267874,0.250265,0.233813,0.218442,0.204082,2.90034
1947,42.1548,39.6538,37.2823,35.0238,32.8757,30.8319,28.8851,27.0308,25.9424,24.1786,22.5335,21.0022,19.5784,18.2546,17.0239,15.8794,14.8146,13.8231,12.8998,12.0397,11.2382,10.4911,9.79471,9.14536,8.53993,7.97545,7.44903,6.95797,6.49976,6.07219,5.67299,5.30021,4.95154,4.62633,4.32249,4.0386,3.77336,3.52554,3.29401,3.07769,2.87559,2.68677,2.51034,2.34549,2.19147,2.04754,1.91307,1.78741,1.67,1.56029,1.45779,1.36201,1.27252,1.1889,1.11078,1.03778,0.969583,0.905862,0.846326,0.790702,0.738732,0.690177,0.644813,0.602429,0.562831,0.525834,0.49127,0.458977,0.428806,0.400618,0.374284,0.34968,0.326693,0.305217,0.285153,0.266408,0.248895,0.232533,0.217247,0.202965,2.88447
1948,41.8725,39.3836,37.047,34.8311,32.7198,30.709,28.7929,26.9663,25.2269,24.2041,22.5533,21.015,19.5846,18.2554,17.0202,15.8723,14.8051,13.8124,12.8881,12.0274,11.2256,10.4786,9.78215,9.13296,8.52763,7.96322,7.43696,6.94618,6.48835,6.06114,5.66248,5.29025,4.94266,4.61755,4.3143,4.03097,3.76625,3.51891,3.28782,3.07191,2.87019,2.68172,2.50563,2.3411,2.18737,2.04373,1.90952,1.78411,1.66692,1.55743,1.45512,1.35952,1.2702,1.18674,1.10877,1.03591,0.967833,0.904229,0.844803,0.789281,0.737406,0.68894,0.643657,0.601351,0.561824,0.524894,0.490392,0.458157,0.428041,0.399904,0.373616,0.349056,0.326111,0.304673,0.284645,0.265933,0.248451,0.232119,0.21686,0.202604,2.87933
1949,41.5867,39.1198,36.7945,34.611,32.538,30.5576,28.6655,26.8595,25.1387,23.5031,22.5394,20.9946,19.5578,18.2235,16.985,15.8349,14.7667,13.7739,12.8506,11.991,11.1906,10.445,9.75024,9.10258,8.49879,7.93575,7.41074,6.92119,6.46461,6.03865,5.64116,5.27022,4.92387,4.60042,4.29787,4.01566,3.75199,3.50562,3.27543,3.06034,2.85939,2.67164,2.49622,2.33232,2.17918,2.03609,1.90239,1.77746,1.66073,1.55165,1.44973,1.3545,1.26552,1.18237,1.10469,1.0321,0.964282,0.900915,0.84171,0.786393,0.73471,0.686422,0.641307,0.599156,0.559774,0.52298,0.488604,0.456487,0.426481,0.398447,0.372255,0.347785,0.324923,0.303564,0.283609,0.264965,0.247547,0.231274,0.216071,0.201867,2.86886
1950,41.3323,38.8529,36.5481,34.3753,32.3331,30.3895,28.5276,26.7467,25.0482,23.4331,21.9013,20.9984,19.5563,18.2161,16.9724,15.8184,14.7471,13.7522,12.8277,11.9679,11.1675,10.4222,9.72789,9.08094,8.47784,7.91558,7.39125,6.90233,6.44642,6.02121,5.62451,5.25432,4.90885,4.58626,4.28501,4.00322,3.74037,3.49479,3.26532,3.05091,2.85058,2.6634,2.48852,2.32513,2.17247,2.02983,1.89655,1.77201,1.65565,1.54691,1.44531,1.35038,1.26167,1.17879,1.10135,1.02898,0.961372,0.8982,0.839176,0.784028,0.732503,0.684361,0.639383,0.597359,0.558096,0.521414,0.487141,0.455121,0.425205,0.397255,0.371142,0.346745,0.323952,0.302657,0.282762,0.264174,0.246808,0.230583,0.215426,0.201264,2.8603
1951,41.1403,38.6151,36.2987,34.1451,32.1127,30.1973,28.3688,26.6151,24.9396,23.3454,21.833,20.4013,19.5575,18.2127,16.9637,15.805,14.7302,13.7325,12.8061,11.9452,11.1445,10.3993,9.70529,9.05883,8.45643,7.89484,7.37129,6.88305,6.42778,6.00324,5.60728,5.23787,4.89314,4.57142,4.27103,3.99049,3.72807,3.4833,3.2546,3.0409,2.84123,2.65467,2.48036,2.3175,2.16534,2.02317,1.89034,1.76622,1.65024,1.54187,1.44061,1.34599,1.25758,1.17497,1.09778,1.02566,0.958272,0.895307,0.836476,0.781509,0.730151,0.682166,0.637333,0.595445,0.556309,0.519745,0.485583,0.453666,0.423846,0.395986,0.369956,0.345638,0.322918,0.301691,0.281859,0.263331,0.24602,0.229848,0.214738,0.200622,2.85118
1952,41.0431,38.4357,36.0766,33.912,31.8969,29.9887,28.1831,26.4568,24.8033,23.2282,21.734,20.32,18.9839,18.1966,16.9441,15.7815,14.7032,13.7032,12.7751,11.9133,11.1125,10.3678,9.67464,9.0291,8.42778,7.86742,7.34503,6.858,6.40381,5.98028,5.58533,5.21697,4.8733,4.55259,4.25328,3.9738,3.7128,3.46866,3.24092,3.02814,2.82932,2.64355,2.46997,2.30779,2.15627,2.0147,1.88242,1.75883,1.64334,1.53544,1.43461,1.34039,1.25236,1.1701,1.09323,1.02142,0.954311,0.89161,0.833026,0.778287,0.727143,0.679358,0.634712,0.592998,0.554024,0.51761,0.483589,0.451804,0.422107,0.394362,0.36844,0.344221,0.321594,0.300454,0.280704,0.262252,0.245012,0.228906,0.213859,0.1998,2.83951
1953,41.0494,38.345,35.909,33.7045,31.6796,29.7888,27.9922,26.2897,24.6638,23.1105,21.6348,20.238,18.9182,17.6724,16.9384,15.772,14.6896,13.6858,12.755,11.8912,11.0891,10.3438,9.65075,9.00557,8.40476,7.84509,7.32354,6.83731,6.38398,5.96123,5.567,5.19937,4.85649,4.53658,4.23804,3.95943,3.69927,3.45631,3.22904,3.01704,2.81897,2.63389,2.46095,2.29936,2.14839,2.00733,1.87554,1.7524,1.63735,1.52984,1.42938,1.33552,1.24781,1.16586,1.08928,1.01773,0.950871,0.8884,0.83003,0.775492,0.724534,0.676923,0.632438,0.590875,0.552042,0.51576,0.481861,0.45019,0.4206,0.392954,0.367125,0.342993,0.320447,0.299383,0.279703,0.261317,0.244139,0.228091,0.213097,0.199089,2.8294
1954,41.1001,38.3509,35.8242,33.548,31.4863,29.5879,27.8101,26.1189,24.5178,22.9921,21.5378,20.1585,18.8546,17.6236,16.4623,15.7781,14.6914,13.6831,12.7481,11.8811,11.0765,10.3294,9.63523,8.98967,8.38873,7.82911,7.3078,6.822,6.36909,5.94684,5.55304,5.18582,4.84338,4.52398,4.22599,3.9479,3.68837,3.44602,3.2197,3.00799,2.81051,2.62599,2.45359,2.29249,2.14196,2.00133,1.86993,1.74716,1.63245,1.52527,1.42512,1.33154,1.2441,1.1624,1.08606,1.01472,0.948065,0.885784,0.82759,0.773215,0.72241,0.67494,0.630588,0.589148,0.55043,0.514255,0.480457,0.448879,0.419375,0.39181,0.366057,0.341996,0.319516,0.298513,0.278891,0.260558,0.24343,0.227428,0.212478,0.198511,2.82119
1955,41.1146,38.3982,35.8297,33.4687,31.3392,29.4041,27.6152,25.937,24.3424,22.8369,21.4065,20.0465,18.759,17.5435,16.3969,15.3158,14.679,13.6679,12.7298,11.8601,11.0536,10.3052,9.61027,8.96455,8.36404,7.80503,7.28444,6.79947,6.34752,5.92617,5.53333,5.16696,4.8253,4.50669,4.20952,3.93225,3.67351,3.43203,3.20654,2.99595,2.79896,2.61521,2.44352,2.2831,2.1332,1.99314,1.86227,1.74,1.62577,1.51903,1.41929,1.32611,1.23903,1.15767,1.08164,1.0106,0.944223,0.882199,0.824244,0.770093,0.719496,0.672221,0.62805,0.586778,0.548218,0.51219,0.478528,0.447078,0.417693,0.39024,0.36459,0.340626,0.318236,0.297318,0.277774,0.259515,0.242456,0.226519,0.211628,0.197717,2.80991
1956,41.0775,38.4117,35.8739,33.4739,31.2652,29.2667,27.4434,25.755,24.1734,22.6752,21.2649,19.9282,18.6593,17.4594,16.3271,15.2595,14.2532,13.6604,12.7194,11.8463,11.0369,10.2864,9.58992,8.94326,8.34235,7.78352,7.26331,6.77885,6.32755,5.90697,5.51486,5.14928,4.80834,4.4904,4.19391,3.91736,3.65934,3.41855,3.19383,2.98399,2.78802,2.6047,2.4337,2.27393,2.12464,1.98514,1.8548,1.73302,1.61924,1.51293,1.4136,1.32079,1.23407,1.15304,1.07732,1.00657,0.940463,0.878691,0.820971,0.767039,0.716646,0.669561,0.625567,0.584461,0.546054,0.51017,0.476642,0.445316,0.416049,0.388704,0.363156,0.339286,0.316985,0.296149,0.276683,0.258496,0.241504,0.225629,0.210797,0.196941,2.79889
1957,40.9533,38.3771,35.8865,33.5151,31.2696,29.196,27.3115,25.5891,23.9963,22.5091,21.1051,19.787,18.54,17.3578,16.2406,15.1868,14.1935,13.2572,12.7058,11.8305,11.0184,10.2656,9.56751,8.91969,8.31823,7.75933,7.23956,6.7557,6.30511,5.88535,5.49416,5.12946,4.78943,4.47232,4.1766,3.90083,3.64361,3.40362,3.17966,2.97064,2.77547,2.59319,2.42268,2.26364,2.11503,1.97617,1.84642,1.72519,1.61192,1.50609,1.40721,1.31482,1.22849,1.14783,1.07246,1.00204,0.936233,0.874744,0.817288,0.763602,0.713438,0.666567,0.622772,0.581852,0.543619,0.507896,0.474519,0.443334,0.414198,0.386976,0.361542,0.337779,0.315577,0.294834,0.275455,0.257349,0.240432,0.224628,0.209862,0.196067,2.78648
1958,40.8223,38.2611,35.8542,33.5269,31.3081,29.2,27.2453,25.4657,23.841,22.3434,20.9495,19.6373,18.4077,17.2458,16.1451,15.1053,14.1249,13.2009,12.33,11.8171,11.003,10.2478,9.54758,8.89834,8.29585,7.73647,7.21666,6.73325,6.28325,5.86417,5.47377,5.10995,4.77076,4.45451,4.15958,3.88454,3.62805,3.38882,3.16562,2.95732,2.76292,2.58139,2.41186,2.25328,2.10535,1.96714,1.83799,1.71731,1.60456,1.49921,1.40078,1.30881,1.22288,1.14259,1.06757,0.997474,0.931973,0.870769,0.813579,0.760141,0.710209,0.663553,0.619959,0.579226,0.541168,0.505608,0.472383,0.44134,0.412335,0.385236,0.359917,0.336262,0.31416,0.293511,0.274219,0.256194,0.239354,0.223621,0.208921,0.195188,2.774
1959,40.7058,38.1387,35.7458,33.4964,31.3163,29.2254,27.2256,25.3664,23.6772,22.1429,20.7364,19.4333,18.2105,17.067,15.988,14.9666,14.0022,13.0931,12.2364,11.4291,10.9536,10.199,9.49897,8.84997,8.24819,7.68974,7.17124,6.68943,6.24135,5.82423,5.43578,5.07391,4.73668,4.42227,4.12913,3.85574,3.6008,3.36305,3.14129,2.93439,2.74131,2.56111,2.39285,2.2357,2.0887,1.95158,1.82346,1.70374,1.59188,1.48736,1.38971,1.29847,1.21322,1.13357,1.05914,0.9896,0.924621,0.863904,0.80717,0.754157,0.704622,0.658337,0.615089,0.574679,0.536921,0.501642,0.468679,0.437881,0.409105,0.382219,0.3571,0.33363,0.311702,0.291215,0.272074,0.254191,0.237482,0.221872,0.207288,0.193662,2.75233
1960,40.5838,38.0299,35.6314,33.3953,31.2895,29.2393,27.2631,25.3701,23.6135,22.0235,20.5849,19.2703,18.0553,16.9169,15.8534,14.8504,13.9013,13.0053,12.1608,11.365,10.6152,10.1736,9.47272,8.82252,8.21974,7.66082,7.14214,6.66058,6.21308,5.79691,5.4095,5.04871,4.71261,4.39939,4.10738,3.83511,3.58119,3.3444,3.12358,2.91762,2.72545,2.54612,2.37875,2.22247,2.07651,1.93998,1.81262,1.69362,1.58243,1.47854,1.38146,1.29076,1.20601,1.12683,1.05285,0.983728,0.919139,0.858786,0.802393,0.749698,0.70046,0.654452,0.611462,0.571293,0.533761,0.498691,0.465924,0.435309,0.406703,0.379976,0.355005,0.331673,0.309875,0.289508,0.27048,0.252702,0.236092,0.220573,0.206075,0.192529,2.73623
1961,40.4151,37.9159,35.5298,33.2886,31.1959,29.2172,27.2828,25.416,23.6312,21.9805,20.4909,19.1467,17.9207,16.7889,15.7293,14.7399,13.807,12.9243,12.0912,11.306,10.5662,9.86905,9.45845,8.80684,8.20235,7.64194,7.12231,6.6401,6.19238,5.77634,5.38943,5.02925,4.69383,4.38136,4.09015,3.81866,3.56553,3.32947,3.10932,2.90402,2.71254,2.53388,2.36715,2.21155,2.06625,1.93055,1.80362,1.68521,1.57458,1.4712,1.37461,1.28436,1.20003,1.12124,1.04763,0.978848,0.914581,0.854532,0.798422,0.745992,0.697001,0.651224,0.60845,0.568482,0.531137,0.496242,0.463638,0.433174,0.404711,0.378116,0.353268,0.330051,0.30836,0.288094,0.269159,0.251468,0.234939,0.219497,0.205069,0.19159,2.7229
1962,40.1562,37.7582,35.4233,33.1937,31.0973,29.134,27.2716,25.4492,23.6932,22.0187,20.4737,19.0822,17.828,16.685,15.6305,14.6436,13.7222,12.8536,12.0318,11.2562,10.5252,9.83644,9.18745,8.80521,8.1986,7.63586,7.11416,6.63042,6.18151,5.76472,5.37741,5.01722,4.68192,4.36966,4.07877,3.80768,3.55494,3.31929,3.09953,2.89459,2.70347,2.52521,2.35889,2.20367,2.05882,1.92355,1.79723,1.67906,1.56883,1.46584,1.3696,1.27968,1.19566,1.11716,1.04381,0.975279,0.911248,0.85142,0.795517,0.743282,0.694473,0.648866,0.60625,0.56643,0.529222,0.494456,0.461972,0.431619,0.403259,0.376761,0.352003,0.328871,0.307258,0.287064,0.268198,0.25057,0.234101,0.218714,0.204338,0.190907,2.71321
1963,39.7568,37.5163,35.276,33.0942,31.0083,29.0403,27.1905,25.4333,23.7172,22.0685,20.501,19.0578,17.7598,16.5909,15.5264,14.5447,13.6261,12.7686,11.9602,11.1955,10.4738,9.79357,9.15267,8.54879,8.19312,7.62869,7.10506,6.61963,6.16952,5.75181,5.364,5.00361,4.66846,4.35647,4.06592,3.79525,3.543,3.30783,3.08857,2.88408,2.69338,2.51555,2.34968,2.19492,2.05049,1.91571,1.78984,1.6723,1.56235,1.45978,1.36395,1.2744,1.19073,1.11255,1.0395,0.971253,0.907487,0.847907,0.792237,0.740221,0.691616,0.6462,0.603763,0.56411,0.527057,0.492436,0.460086,0.42986,0.401617,0.375228,0.350572,0.327535,0.306011,0.2859,0.267111,0.249555,0.233153,0.217829,0.203511,0.190135,2.70225
1964,39.1653,37.1432,35.05,32.9564,30.9136,28.9508,27.0887,25.3345,23.6721,22.0564,20.5112,19.0471,17.7021,16.494,15.4072,14.4179,13.5058,12.6526,11.8562,11.1056,10.3955,9.72532,9.09374,8.49865,7.93793,7.60768,7.08359,6.59739,6.14665,5.72871,5.34086,4.98075,4.64612,4.33492,4.04522,3.77543,3.5241,3.28988,3.07151,2.86791,2.67803,2.50096,2.33583,2.18181,2.03811,1.90401,1.77885,1.66198,1.55283,1.45073,1.35549,1.26651,1.18336,1.10566,1.03307,0.965241,0.901868,0.842657,0.787333,0.735641,0.68734,0.642208,0.600037,0.560631,0.52381,0.489405,0.457257,0.427218,0.399151,0.372926,0.348423,0.325528,0.304136,0.28415,0.265476,0.248029,0.231727,0.216497,0.202267,0.188973,2.68576
1965,38.348,36.5906,34.7014,32.7453,30.7858,28.8658,27.0128,25.252,23.5962,22.0328,20.5193,19.0759,17.7109,16.4583,15.334,14.323,13.403,12.555,11.7617,11.0214,10.3236,9.66346,9.04048,8.45337,7.90019,7.37896,7.07198,6.58479,6.13283,5.71383,5.32532,4.96478,4.63004,4.31898,4.02969,3.76039,3.5096,3.27596,3.05823,2.85524,2.66598,2.48947,2.32487,2.17137,2.02819,1.89461,1.76994,1.6536,1.54496,1.4435,1.34859,1.26005,1.17733,1.10004,1.02781,0.96033,0.897278,0.838367,0.783325,0.731897,0.683844,0.638945,0.59699,0.557788,0.521157,0.486929,0.454946,0.425062,0.397138,0.371047,0.346668,0.32389,0.302607,0.282722,0.264143,0.246784,0.230565,0.215411,0.201254,0.188026,2.67232
1966,37.2833,35.8271,34.1851,32.4193,30.5856,28.7353,26.9084,25.1409,23.4667,21.9021,20.4341,19.0201,17.6762,16.408,15.2457,14.2033,13.2663,12.4138,11.6282,10.8934,10.2077,9.56141,8.95005,8.37308,7.82933,7.317,6.83426,6.54996,6.09875,5.68016,5.2921,4.93227,4.59835,4.28832,4.00022,3.73229,3.48287,3.25058,3.0342,2.83254,2.64453,2.46923,2.30575,2.1533,2.01112,1.87852,1.75479,1.63933,1.53157,1.43095,1.33697,1.24907,1.16707,1.09045,1.01886,0.951965,0.889462,0.831063,0.7765,0.72552,0.677887,0.63338,0.591794,0.552936,0.516626,0.482698,0.450996,0.421373,0.393694,0.367831,0.343666,0.321086,0.299989,0.280277,0.261859,0.244651,0.228572,0.21355,0.199515,0.186402,2.64927
1967,36.0722,34.8323,33.4718,31.9369,30.2802,28.545,26.7788,25.031,23.3471,21.7634,20.2936,18.922,17.6062,16.3585,15.1828,14.1062,13.141,12.2737,11.4849,10.7579,10.0781,9.44367,8.84573,8.28012,7.74633,7.24329,6.76931,6.32271,6.05969,5.64225,5.255,4.89599,4.5631,4.25417,3.96735,3.70081,3.45294,3.22218,3.00729,2.8071,2.62053,2.44659,2.28442,2.13318,1.99213,1.8606,1.73792,1.62345,1.51663,1.41694,1.32385,1.23691,1.15558,1.07972,1.00883,0.942603,0.880715,0.82289,0.768862,0.718383,0.671218,0.62715,0.585975,0.547501,0.511551,0.477959,0.446571,0.417241,0.389836,0.364228,0.340301,0.317944,0.297054,0.277536,0.259299,0.24226,0.22634,0.211465,0.197567,0.184583,2.62344
1968,34.9,33.7009,32.5425,31.2703,29.8285,28.2559,26.5923,24.8956,23.2257,21.6304,20.1419,18.7686,17.4927,16.272,15.1166,14.0289,13.0333,12.1412,11.3397,10.6108,9.93908,9.31096,8.72482,8.1724,7.64985,7.1567,6.69196,6.25407,5.84147,5.59848,5.21282,4.85505,4.52337,4.21582,3.93041,3.66541,3.41916,3.19015,2.97697,2.77843,2.59347,2.42111,2.2604,2.11057,1.97084,1.84053,1.71901,1.60566,1.49991,1.40122,1.30911,1.2231,1.14278,1.06764,0.997551,0.932064,0.870872,0.813694,0.760269,0.710353,0.663715,0.620139,0.579425,0.541383,0.505837,0.472623,0.441587,0.412587,0.38549,0.36017,0.336511,0.314405,0.293749,0.274449,0.256416,0.239567,0.223824,0.209116,0.195373,0.182533,2.59433
1969,33.9635,32.6057,31.4854,30.4021,29.2057,27.8333,26.3204,24.7181,23.0948,21.512,20.0125,18.6221,17.3449,16.1615,15.0313,13.9627,12.9572,12.0374,11.2132,10.4728,9.79953,9.17918,8.59907,8.05774,7.54757,7.06498,6.60954,6.18034,5.77594,5.39489,5.17047,4.81431,4.48389,4.17757,3.89353,3.62995,3.38521,3.15779,2.94629,2.7494,2.56604,2.39522,2.23603,2.08762,1.94924,1.82019,1.69984,1.58761,1.48292,1.38526,1.29411,1.20904,1.12961,1.05542,0.98603,0.921299,0.860817,0.804302,0.751495,0.702155,0.656054,0.612981,0.572736,0.535134,0.5,0.467171,0.436496,0.407833,0.38105,0.356023,0.332639,0.310788,0.290372,0.271295,0.25347,0.236816,0.221255,0.206715,0.193131,0.180439,2.5646
1970,33.3733,31.7308,30.4622,29.4144,28.3938,27.248,25.9173,24.4501,22.9103,21.3684,19.8797,18.4796,17.1875,16.004,14.9094,13.8654,12.8788,11.951,11.1023,10.3419,9.65898,9.03797,8.46579,7.93074,7.43147,6.96093,6.51585,6.0958,5.69996,5.32698,4.97555,4.76858,4.4401,4.13536,3.85285,3.59089,3.34779,3.12208,2.91233,2.71727,2.53569,2.36658,2.20904,2.06222,1.92535,1.79772,1.6787,1.56771,1.4642,1.36766,1.27758,1.19352,1.11506,1.0418,0.973386,0.909386,0.849686,0.793905,0.741784,0.693081,0.647576,0.605058,0.565333,0.528217,0.493538,0.461135,0.430858,0.402567,0.376132,0.35143,0.328349,0.306783,0.286631,0.267801,0.250207,0.233768,0.218408,0.204057,0.190647,0.178119,2.53167
1971,33.1328,31.1794,29.6448,28.4581,27.4678,26.4765,25.3403,24.0235,22.5937,21.1198,19.6655,18.2758,16.9773,15.7839,14.6935,13.6867,12.7271,11.8209,10.9689,10.1897,9.49173,8.86486,8.29485,7.76968,7.2786,6.82037,6.38851,5.98002,5.59451,5.23121,4.88891,4.56637,4.37642,4.07495,3.79528,3.536,3.29558,3.07247,2.86532,2.67283,2.49381,2.32715,2.17195,2.02737,1.89263,1.76701,1.64988,1.54065,1.43878,1.34379,1.25518,1.17251,1.09536,1.02336,0.956126,0.893335,0.834598,0.779808,0.728615,0.68078,0.636083,0.594319,0.555298,0.51884,0.484777,0.452949,0.423211,0.395424,0.36946,0.345199,0.322529,0.301346,0.281553,0.263058,0.245777,0.22963,0.214543,0.200446,0.187275,0.174969,2.48693
1972,33.1957,30.9547,29.1296,27.6946,26.576,25.6178,24.6338,23.5067,22.2231,20.855,19.4652,18.1071,16.8175,15.617,14.5161,13.5115,12.5847,11.7018,10.8683,10.0847,9.36822,8.72644,8.15006,7.62598,7.14314,6.69164,6.27035,5.87332,5.49776,5.14334,4.80934,4.49464,4.19811,4.02348,3.74632,3.4892,3.25083,3.0298,2.82468,2.63424,2.45727,2.29269,2.13947,1.99679,1.86387,1.73999,1.6245,1.51682,1.4164,1.32275,1.23541,1.15395,1.07795,1.00702,0.940828,0.879016,0.821289,0.767289,0.716918,0.669853,0.625876,0.584784,0.546389,0.510515,0.476997,0.44568,0.41642,0.38908,0.363534,0.339664,0.317359,0.296517,0.277043,0.258846,0.241843,0.225956,0.211111,0.19724,0.184281,0.172172,2.44723
1973,33.3922,31.0134,28.9197,27.2128,25.8579,24.7665,23.7898,22.7771,21.6468,20.4,19.1021,17.8038,16.5472,15.3606,14.2596,13.2518,12.3334,11.4865,10.6802,9.91915,9.20387,8.54984,7.96406,7.43799,6.95967,6.51899,6.10693,5.72245,5.3601,5.01735,4.6939,4.38908,4.10187,3.83126,3.67188,3.41895,3.18429,2.96675,2.76504,2.57785,2.40404,2.24254,2.09234,1.95251,1.8223,1.70099,1.58794,1.48254,1.38427,1.29262,1.20716,1.12745,1.05311,0.983751,0.919022,0.858612,0.802201,0.749519,0.700238,0.654268,0.611317,0.571182,0.533681,0.498641,0.465902,0.435313,0.406734,0.38003,0.355079,0.331766,0.309981,0.289626,0.270606,0.252833,0.236226,0.220709,0.20621,0.192662,0.180004,0.168177,2.3905
1974,33.5263,31.197,28.9746,27.0165,25.4064,24.0909,22.9846,21.9726,20.9429,19.8339,18.6461,17.4324,16.2319,15.0775,13.9913,12.9858,12.0665,11.2293,10.4578,9.72337,9.03032,8.37901,7.78352,7.2502,6.77125,6.33578,5.9346,5.55946,5.20944,4.87957,4.56754,4.27309,3.99559,3.73413,3.48778,3.34269,3.11243,2.89881,2.70077,2.51714,2.34673,2.18851,2.04149,1.90475,1.77746,1.65892,1.54849,1.44557,1.34962,1.26017,1.17673,1.09893,1.02637,0.958697,0.895554,0.836628,0.781634,0.730281,0.682322,0.637459,0.595611,0.55651,0.519974,0.485834,0.453936,0.424132,0.396286,0.370268,0.345959,0.323245,0.302021,0.28219,0.26366,0.246345,0.230165,0.215048,0.200922,0.187722,0.17539,0.163866,2.32928
1975,33.5158,31.3223,29.1461,27.0675,25.2208,23.6614,22.3375,21.1961,20.1598,19.1387,18.0753,16.9626,15.8411,14.7405,13.6867,12.6977,11.7834,10.9483,10.1881,9.48775,8.82127,8.19239,7.60144,7.06116,6.57729,6.14277,5.74771,5.38375,5.04343,4.72588,4.42663,4.14356,3.87644,3.6247,3.38751,3.16402,3.0324,2.82351,2.62972,2.45007,2.28348,2.12889,1.98536,1.85198,1.72794,1.61246,1.50493,1.40475,1.31138,1.22434,1.14319,1.0675,0.996918,0.931096,0.869703,0.812422,0.758966,0.709076,0.66249,0.618983,0.578285,0.540321,0.50485,0.471705,0.440735,0.411798,0.384761,0.359499,0.335897,0.313844,0.293239,0.273985,0.255995,0.239185,0.223477,0.2088,0.195085,0.18227,0.170296,0.159108,2.26171
1976,33.7618,31.3125,29.2631,27.2277,25.2679,23.4867,21.9351,20.5927,19.4386,18.413,17.4311,16.4325,15.4036,14.3755,13.3712,12.4123,11.5137,10.6837,9.92595,9.23642,8.60127,7.99694,7.42674,6.89096,6.40115,5.96248,5.56856,5.21042,4.88047,4.57196,4.28409,4.01281,3.75621,3.51405,3.28584,3.07083,2.86823,2.74891,2.55955,2.38388,2.22102,2.07001,1.92987,1.79975,1.67884,1.5664,1.46172,1.36424,1.27342,1.18879,1.10988,1.03631,0.967702,0.903718,0.844051,0.788396,0.73647,0.688012,0.642786,0.600556,0.561116,0.524222,0.489808,0.457653,0.427607,0.399532,0.3733,0.34879,0.325891,0.304495,0.284504,0.265825,0.248371,0.232063,0.216824,0.202585,0.189279,0.176847,0.16523,0.154376,2.1945
